Rule: ('21352602247922688',) ==> ('27424405030704256',) , 0.127
Rule: ('8173457518590080',) ==> ('7622515220085888',) , 0.128
Rule: ('20799413707505536',) ==> ('11469144838403584',) , 0.128
Rule: ('24555101931700992',) ==> ('5368145410852864',) , 0.128
Rule: ('11469144838403584',) ==> ('9664617818813440',) , 0.128
Rule: ('10805561385801984',) ==> ('21793729483431168',) , 0.129
Rule: ('8811644561598336',) ==> ('21352602247922688',) , 0.129
Rule: ('8811644561598336',) ==> ('5420474487543424',) , 0.129
Rule: ('7019692132464768',) ==> ('5368145410852864',) , 0.130
Rule: ('25688126652141056',) ==> ('5368145410852864',) , 0.130
Rule: ('11469144838403584',) ==> ('9869596206970368',) , 0.130
Rule: ('16754961358140416',) ==> ('17177271533881472',) , 0.130
Rule: ('17014721785656192',) ==> ('5368145410852864',) , 0.130
Rule: ('21352602247922688',) ==> ('12890630300398464',) , 0.131
Rule: ('8503562530852608',) ==> ('7304178417862144',) , 0.131
Rule: ('12752744133659008',) ==> ('25852107163403776',) , 0.131
Rule: ('6931495515974784',) ==> ('12890630300398464',) , 0.132
Rule: ('27659050913272320', '22370628148540672') ==> ('5420474487543424',) , 0.133
Rule: ('2559223020059393024',) ==> ('20676578519587712',) , 0.133
Rule: ('4931541047197568',) ==> ('11469144838403584', '10666016019011968') , 0.134
Rule: ('21925619338357120',) ==> ('17730032213977472',) , 0.134
Rule: ('27659050913272320', '22370628148540672') ==> ('12890630300398464',) , 0.135
Rule: ('10805561385801984',) ==> ('18140151421282816',) , 0.135
Rule: ('5900178311639552',) ==> ('20676578519587712',) , 0.135
Rule: ('23122793688660480',) ==> ('10666016019011968',) , 0.136
Rule: ('27102415898330496',) ==> ('10702039788833536',) , 0.137
Rule: ('17020968010150272',) ==> ('9619453553227520',) , 0.137
Rule: ('20801100627439104',) ==> ('21352602247922688',) , 0.138
Rule: ('24693908300666624',) ==> ('25688126652141056',) , 0.138
Rule: ('8323222491274496',) ==> ('16155769128467456',) , 0.138
Rule: ('2555123523197559808',) ==> ('11469144838403584',) , 0.139
Rule: ('13183241053306368',) ==> ('11469144838403584',) , 0.139
Rule: ('5368145410852864', '24555101931700992') ==> ('21352602247922688',) , 0.140
